,Occupation Title,SOC Code,Typical entry-level education,2017_median_income,2016_median_income,2015_median_income,2014_median_income,2013_median_income,2012_median_income,2011_median_income,2010_median_income,2009_median_income,2008_median_income,2007_median_income
101,Museum technicians and conservators    * Art Conservator* Art Preparator* Conservation Technician* Ethnographic Materials Conservator* Museum Exhibit Technician* Objects Conservator* Paintings Conservator* Paper Conservator* Textile Conservator,25-4013,Bachelor's degree,40670,40040,40340,39940,40020,38220,38010,37310,         37120,         36660,         35350
102,Music directors and composers    * Choir Director* Choirmaster* Chorus Master* Composer* Jingle Writer* Maestro* Music Adapter* Music Arranger* Music Copyist* Music Director* Music Minister* Music Pastor* Orchestra Conductor* Orchestra Director* Orchestrator* Songwriter,27-2041,Bachelor's degree,50590,50110,49820,48180,48330,47350,47410,45970,         45090,         41270,         40150
103,Natural sciences managers    * Agricultural Research Director* Geochemical Manager* Geophysical Manager* Ocean Program Administrator,11-9121,Bachelor's degree,118970,119850,120160,120050,116840,115730,114770,116020,        114560,        112800,        104040
104,Nuclear engineers    * Atomic Process Engineer* Nuclear Engineer* Nuclear Radiation Engineer* Nuclear Steam Supply System Engineer* Radiation Engineer* Reactor Engineer* Reactor Projects Engineer,17-2161,Bachelor's degree,105810,102220,102950,100470,101600,104270,101930,99920,         96910,         97080,         94420
105,Occupational health and safety specialists    * Certified Indoor Environmentalist* Certified Industrial Hygienist* Certified Professional Ergonomist* Environmental Health Sanitarian* Health and Safety Inspector* Industrial Hygienist* Industrial Safety and Health Specialist* Occupational Health and Safety Specialist* Occupational Safety and Health Inspector* Radiological Health Specialist,29-9011,Bachelor's degree,71780,70920,70210,69210,67960,66790,66270,64660,         63230,         62250,         60140
106,Operations research analysts    * Operations Analyst* Operations Research Analyst* Procedure Analyst* Process Analyst,15-2031,Bachelor's degree,81390,79200,78630,76660,74630,72100,71950,70960,         70070,         69000,         66950
107,Personal financial advisors    * Certified Financial Planner* Estate Planner* Estate Planning Counselor* Financial Counselor* Individual Pension Adviser* Individual Pension Consultant* Personal Financial Advisor* Personal Financial Planner* Personal Investment Adviser,13-2052,Bachelor's degree,90640,90530,89160,81060,75320,67520,66580,64750,         68200,         69050,         67660
108,Petroleum engineers    * Natural Gas Engineer* Oil Drilling Engineer* Oil Exploration Engineer* Oil Well Engineer* Petroleum Engineer,17-2171,Bachelor's degree,132280,128230,129990,130050,132320,130280,122280,114080,        108910,        108020,        103960
109,"Physical scientists, all other    * Physical Scientist",19-2099,Bachelor's degree,103990,96070,97130,94030,93230,91640,94990,94780,         93950,         91500,         87660
110,Probation officers and correctional treatment specialists    * Correctional Treatment Specialist* Juvenile Probation Officer* Parole Agent* Parole Officer* Probation Officer,21-1092,Bachelor's degree,51410,50160,49360,49060,48440,48190,47840,47200,         46530,         45910,         44510
111,Producers and directors    * Broadcast Producer* Casting Director* Film Maker* Independent Film Maker* Independent Video Producer* Motion Picture Director* Movie Producer* Music Video Director* Music Video Producer* News Production Supervisor* Newscast Director* Newscast Producer* On-Air Director* Pageant Director* Radio Producer* Radio Television Technical Director* Stage Manager* Television News Producer* Television Newscast Director* Television Producer* Television Program Director* Theater Company Producer* Video Producer,27-2012,Bachelor's degree,71620,70950,68440,69100,69480,71350,70660,68440,         66720,         64430,         61090
112,Proofreaders and copy markers    * Braille Proofreader* Clerical Proofreader* Copy Reader* Editorial Assistant* Format Proofreader* Proofreader,43-9081,Bachelor's degree,37550,36960,35630,34980,33130,32780,31940,31360,         30700,         30490,         28920
113,Public relations and fundraising managers    * Communication Manager* Fundraising Director* Public Affairs Director* Public Information Director* Public Information Relations Manager* Public Relations Director* Public Relations Manager* Publicity Director,11-2031,Bachelor's degree,111280,107320,104140,101510,98700,95450,93310,91810,         89690,         89430,         86470
114,Public relations specialists    * Environmental Communications Specialist* Lobbyist* Media Relations Specialist* Press Agent* Press Secretary* Public Affairs Officer* Public Relations Counselor* Public Relations Officer* Public Relations Representative* Publicist* Publicity Agent* Publicity Writer,27-3031,Bachelor's degree,59300,58020,56770,55680,54940,54170,53190,52090,         51960,         51280,         49800
115,Purchasing managers    * Contract Administrator* Contracting Manager* Director of Strategic Sourcing* Procurement Manager* Purchasing Director* Purchasing Manager* Sourcing Manager,11-3061,Bachelor's degree,115760,111590,108120,106090,103780,100170,97130,95070,         91440,         89160,         85440
116,Radio and television announcers    * Commercial Announcer* Game Show Host* Radio Artist* Radio Disk Jockey* Radio Host* Talk Show Host* Television Host,27-3011,Bachelor's degree,32450,31400,30960,29790,29020,28020,27280,26850,         27520,         26940,         26060
117,Recreational therapists    * CTRS* Certified Recreational Therapist* Certified Therapeutic Recreation Specialist* Drama Therapist* Recreational Therapist* Therapeutic Recreation Specialist,29-1125,Bachelor's degree,47680,46410,45890,44000,43180,42280,41060,39410,         39440,         38370,         36940
118,"Religious workers, all other    * Buddhist Monk* Christian Science Nurse* Missionary* Mohel* Nun* Pastoral Worker* Prior* Sacristan* Sunday School Missionary* Traveling Missionary* Verger",21-2099,Bachelor's degree,29310,28820,28750,29620,28750,26380,26150,26780,         29410,         27660,         26660
119,Reporters and correspondents    * Book Critic* Book Reviewer* Columnist* Desk Reporter* Editorial Writer* Feature Writer* Film Critic* Foreign Correspondent* Investigative Reporter* Market News Reporter* Movie Critic* News Reporter* Newspaper Columnist* Newspaper Correspondent* Political Reporter* Press Writer* Society Reporter,27-3022,Bachelor's degree,39370,37820,36360,36000,35600,35870,34870,34530,         34360,         34850,         34690
120,Sales engineers    * Aerospace Products Sales Engineer* Missile Navigation Systems Sales Engineer* Nuclear Equipment Sales Engineer,41-9031,Bachelor's degree,98720,100000,97650,96340,93900,91830,89330,87390,         83190,         83100,         80270
121,Sales managers    * District Sales Manager* E-Commerce Director* Export Manager* Regional Sales Manager* Sales Account Manager* Sales Director* Territory Sales Manager,11-2022,Bachelor's degree,121060,117960,113860,110660,108540,105260,101640,98530,         96790,         97260,         94910
122,"Sales representatives, wholesale and manufacturing, technical and scientific products    * Chemical Sales Representative* Electroplating Sales Representative* Engineering Supplies Sales* Pharmaceutical Detailer* Pharmaceutical Sales Representative* Pharmaceutical Salesperson* Surgical Instruments Sales Representative* Wholesale Ultrasonic Equipment Salesperson",41-4011,Bachelor's degree,78830,78980,76190,75140,74520,74970,74750,73710,         71340,         70200,         68270
123,"Secondary school teachers, except special and career/technical education    * High School Biology Teacher* High School English Teacher* High School French Teacher* High School History Teacher* High School Math Teacher* High School Music Director* High School Teacher",25-2031,Bachelor's degree,59170,58030,57200,56310,55360,55050,54270,53230,         52200,         51180,         49420
124,"Securities, commodities, and financial services sales agents    * Commodities Broker* Commodity Trader* Equity Trader* Investment Banker* Municipal Bond Trader* Mutual Fund Sales Agent* Securities Trader* Stock Broker* Stock Trader",41-3031,Bachelor's degree,63780,67310,71550,72070,72640,71720,72060,70190,         66930,         68680,         68430
125,Set and exhibit designers    * Scenic Designer* Set Decorator* Set Designer* Stage Scenery Designer* Theater Set Production Designer,27-1027,Bachelor's degree,53090,50990,49530,49810,50000,50300,48480,46680,         45400,         44660,         43220
126,Social and community service managers    * Child Welfare Director* Community Service Director* Community Service Organization Director* Family Service Center Director* Neighborhood Service Center Director* Social Service Director* Social Services Director* Youth Program Director,11-9151,Bachelor's degree,64100,64680,63530,62740,61160,59970,58660,57950,         56600,         55980,         54530
127,Social science research assistants    * City Planning Aide* Economic Research Assistant* Economist Research Assistant* Historian Research Assistant* Political Science Research Assistant* Psychologist Research Assistant* Sociology Research Assistant,19-4061,Bachelor's degree,46000,43190,42480,39460,38310,37140,38800,37230,         37500,         35650,         35870
128,"Social scientists and related workers, all other    * Behavioral Scientist* Demographer* Ethnologist* Etymologist* Linguist* Philologist* Social Scientist",19-3099,Bachelor's degree,79370,77020,76380,75630,76770,76540,75160,74620,         69860,         68720,         67200
129,"Social workers, all other    * Criminal Justice Social Worker* Forensic Social Worker* Sexual Assault Social Worker",21-1029,Bachelor's degree,61980,60230,58560,59100,56510,54560,53900,51500,         49420,         46220,         45800
130,Soil and plant scientists    * Agriculturist* Agronomist* Arboreal Scientist* Crop Nutrition Scientist* Floriculturist* Horticulturist* Plant Physiologist* Plant Scientist* Pomologist* Soil Fertility Extension Specialist* Soil Scientist* Viticulturist,19-1013,Bachelor's degree,62430,62300,60050,59920,58990,58740,58940,57340,         59180,         58390,         58000
131,Statistical assistants    * Actuarial Assistant* Actuary Clerk* Data Analysis Assistant* Statistical Clerk* Tariff Compiling Clerk,43-9111,Bachelor's degree,47400,46850,42700,42070,41430,39840,38570,34530,         35920,         34850,         32540
132,Surveyors    * City Surveyor* County Surveyor* Geodetic Surveyor* Geophysical Prospecting Surveyor* Land Surveyor* Mine Surveyor* Mineral Surveyor* Registered Land Surveyor* Topographical Surveyor,17-1022,Bachelor's degree,61140,59390,58020,57050,56590,56230,55590,54880,         54180,         52980,         51630
133,"Tax examiners and collectors, and revenue agents    * City Collector* Customs Appraiser* Income Tax Adjuster* Internal Revenue Agent* Internal Revenue Service Agent* Revenue Collector* Revenue Enforcement Agent* Tax Compliance Officer* Tax Compliance Representative* Tax Examiner* Tax Investigator* Tax Revenue Officer",13-2081,Bachelor's degree,53130,52060,51430,51120,50610,50440,50130,49360,         48550,         48100,         46920
134,Technical writers    * Assembly Instructions Writer* Documentation Writer* Engineering Writer* Handbook Writer* Medical Writer* Specifications Writer* Technical Communicator* Technical Writer,27-3042,Bachelor's degree,70930,69850,70240,69030,67900,65500,64610,63280,         62730,         61620,         60390
135,"Vocational education teachers, postsecondary    * Architectural Drafting Instructor* Aviation Maintenance Instructor* Barbering Instructor* Barbering Teacher* Building Trades Instructor* Carpentry Instructor* Commercial Art Instructor* Computer Repair Instructor* Computer-Aided Drafting and Design Instructor* Cosmetology Professor* Electrical Technology Instructor* Electronics Technology Instructor* Industrial Electrical Technology Instructor* Industrial Maintenance Instructor* Machine Tool Technician Instructor* Masonry Instructor* Massage Therapy Instructor* Mechanical Maintenance Instructor* Paralegal Instructor* Postsecondary Career and Technical Education Teacher* Residential Construction Instructor* Skin Care Instructor* Upholstery Instructor* Vocational Horticulture Instructor* Welding Instructor",25-1194,Bachelor's degree,51600,50660,49470,48360,48300,47990,48790,48210,         47950,         47330,         45850
136,Writers and authors    * Advertising Copy Writer* Advertising Copywriter* Author* Biographer* Copy Writer* Copywriter* Lyricist* Novelist* Playwright* Poet* Program Writer* Radio Script Writer* Screen Writer* Short Story Writer* Song Lyricist* Television Writer* Verse Writer,27-3043,Bachelor's degree,61820,61240,60250,58850,57750,55940,55870,55420,         53900,         53070,         50660
137,Zoologists and wildlife biologists    * Aquatic Biologist* Entomologist* Fish Culturist* Fishery Biologist* Herpetologist* Ichthyologist* Lepidopterist* Marine Biologist* Migratory Game Bird Biologist* Ornithologist* Protozoologist* Wildlife Biologist,19-1023,Bachelor's degree,62290,60520,59680,58270,57430,57710,57420,57430,         56500,         55290,         55100
