,Occupation Title,SOC Code,Typical entry-level education,2017_median_income,2016_median_income,2015_median_income,2014_median_income,2013_median_income,2012_median_income,2011_median_income,2010_median_income,2009_median_income,2008_median_income,2007_median_income
20,Biological technicians    * Bacteriology Technician* Biochemistry Technician* Biology Laboratory Assistant* Marine Fisheries Technician* Microbiology Technician* Wildlife Technician,19-4021,Bachelor's degree,43800,42520,41650,41290,40710,39750,39480,39020,         38700,         38400,         37810
21,Biomedical engineers    * Bio-Mechanical Engineer* Biochemical Engineer* Biomaterials Engineer* Biomedical Engineer* Dialysis Engineer* Genetic Engineer,17-2031,Bachelor's degree,88040,85620,86220,86950,88670,86960,84670,81540,         78860,         77400,         75440
22,Broadcast news analysts    * News Anchor* News Commentator* Newscaster,27-3021,Bachelor's degree,62910,56680,65530,61450,60470,55380,55720,54140,         50400,         51260,         49060
23,Budget analysts    * Budget Analyst* Budget Coordinator* Budget Examiner* Budget Officer* Cost Analyst,13-2031,Bachelor's degree,75240,73840,71590,71220,70110,69280,69090,68200,         66660,         65320,         63440
24,"Business operations specialists, all other    * Mystery Shopper* Ship Purser",13-1199,Bachelor's degree,70010,69040,68170,67280,66090,65120,64030,62450,         60610,         59920,         57090
25,"Camera operators, television, video, and motion picture    * Cinematographer* Electronic News Gathering Camera Operator* Motion Picture Camera Operator* Movie Shot Camera Operator* News Camera Operator* News Videographer* Television Camera Operator* Video Camera Operator",27-4031,Bachelor's degree,53550,55080,49080,48080,42530,40300,40170,40390,         42940,         41670,         41850
26,"Career/technical education teachers, middle school    * Middle School Vocational Education Teacher",25-2023,Bachelor's degree,58630,57560,55190,54090,54270,54220,54050,51470,         49320,         47870,         46290
27,"Career/technical education teachers, secondary school    * High School Auto Repair Teacher* High School Vocational Education Teacher",25-2032,Bachelor's degree,58660,57320,56130,55200,55120,55160,54660,54310,         52550,         51580,         50090
28,"Cartographers and photogrammetrists    * Cadastral Mapper* Digital Cartographer* Engineer, Photogrammetric* Map Maker* Mapper* Orthophotography Technician* Photo Cartographer* Photogrammetrist* Topographer",17-1021,Bachelor's degree,63990,62750,61880,60930,58840,57440,55970,54510,         53050,         51180,         49970
29,Chemical engineers    * Absorption and Adsorption Engineer* Chemical Process Engineer* Chemical Research Engineer* Fuels Engineer* Oxidation Engineer* Plastics Engineer* Polymerization Engineer* Refinery Process Engineer,17-2041,Bachelor's degree,102160,98340,97360,96940,95730,94350,92930,90300,         88280,         84680,         81500
30,Chemists    * Agricultural Chemist* Analytical Chemist* Bench Chemist* Food Chemist* Formulary Chemist* Industrial Chemist* Inorganic Chemist* Laboratory Chemist* Nuclear Chemist* Organic Chemist* Quality Control Chemist* Research and Development Chemist,19-2031,Bachelor's degree,74740,73740,71260,73480,72350,71770,69760,68320,         68220,         66230,         63490
31,Chief executives    * CEO* COO* Chief Executive Officer* Chief Operating Officer* Commissioner of Internal Revenue* County Commissioner* Government Service Executive* Governor* Mayor,11-1011,Bachelor's degree,183270,181210,175110,173320,171610,168140,166910,165080,        160720,        158560,#
32,"Child, family, and school social workers    * C-CYFSW* Certified Children, Youth, and Family Social Worker* Child Abuse Worker* Child Protective Services Social Worker* Child Protective Services Specialist* Child Welfare Social Worker* Child Welfare Worker* Child and Family Services Worker* Family Preservation Caseworker* Family Preservation Worker* Family Service Caseworker* Foster Care Social Worker* Foster Care Worker* School Social Worker",21-1021,Bachelor's degree,44380,43250,42350,42120,42120,41530,40680,40210,         39960,         39530,         38620
